Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,437.92999267578125,439.2699890136719,435.6400146484375,439.25,434.07940673828125,6017300
2022-01-04,440.5799865722656,441.260009765625,437.2200012207031,439.07000732421875,433.90155029296875,6262200
2022-01-05,438.7799987792969,439.4100036621094,430.5299987792969,430.6600036621094,425.59051513671875,7539600
2022-01-06,430.20001220703125,432.8299865722656,427.8999938964844,430.0799865722656,425.0173645019531,7971500
2022-01-07,430.2099914550781,431.3599853515625,427.20001220703125,428.5899963378906,423.54486083984375,6157500
2022-01-10,425.3800048828125,428.19000244140625,419.7699890136719,428.0299987792969,422.9914855957031,10481500
2022-01-11,427.67999267578125,431.95001220703125,424.7799987792969,431.7799987792969,426.6973571777344,7282400
2022-01-12,433.55999755859375,435.0400085449219,431.1400146484375,433.07000732421875,427.97216796875,8270300
2022-01-13,434.0899963378906,434.7200012207031,426.0899963378906,427.1000061035156,422.0724182128906,7521300
2022-01-14,423.95001220703125,427.5799865722656,422.80999755859375,427.2300109863281,422.200927734375,9960800
2022-01-18,422.6199951171875,424.9800109863281,417.3299865722656,419.739990234375,414.799072265625,10681500
2022-01-19,421.1700134277344,422.5400085449219,415.07000732421875,415.3299865722656,410.44097900390625,8184100
2022-01-20,417.1700134277344,421.75,410.2900085449219,410.760009765625,405.9248046875,8907600
2022-01-21,409.7099914550781,411.92999267578125,402.6600036621094,402.69000244140625,397.94976806640625,16225900
2022-01-24,397.260009765625,404.8800048828125,386.8399963378906,404.3699951171875,399.6099548339844,22970700
2022-01-25,398.1700134277344,404.260009765625,392.7300109863281,399.4599914550781,394.7578125,16836300
2022-01-26,405.6600036621094,408.20001220703125,394.3399963378906,398.55999755859375,393.868408203125,14377300
2022-01-27,402.92999267578125,405.9700012207031,394.82000732421875,396.5400085449219,391.8721923828125,12455200
2022-01-28,397.82000732421875,406.3299865722656,393.29998779296875,406.260009765625,401.4777526855469,12096800
2022-01-31,405.6700134277344,413.9700012207031,404.3500061035156,413.69000244140625,408.8202819824219,9200400
2022-02-01,414.3399963378906,417.0400085449219,410.8999938964844,416.3900146484375,411.4884948730469,8154900
2022-02-02,418.9800109863281,421.17999267578125,416.5400085449219,420.3599853515625,415.4117431640625,6726500
2022-02-03,414.5899963378906,416.42999267578125,409.7900085449219,410.5899963378906,405.7567443847656,7658300
2022-02-04,410.3399963378906,416.239990234375,408.05999755859375,412.5199890136719,407.6640319824219,8210000
2022-02-07,413.2300109863281,414.6199951171875,409.8999938964844,411.1600036621094,406.320068359375,5620900
2022-02-08,410.7200012207031,415.4599914550781,409.3500061035156,414.489990234375,409.6108703613281,5565700
2022-02-09,418.54998779296875,420.8699951171875,418.3500061035156,420.57000732421875,415.6192932128906,6284500
2022-02-10,414.92999267578125,420.79998779296875,411.1400146484375,413.17999267578125,408.3162536621094,9260500
2022-02-11,413.1499938964844,415.20001220703125,403.57000732421875,404.94000244140625,400.17327880859375,10458600
